token	dependency	head	dependent	is_sent_start
responsible	amod	course	[]	False
course	attr	is	['a', 'responsible', 'of', 'action']	False
of	prep	course	['action']	False
action	pobj	of	[]	False
.	punct	wants	[]	False
Coronavirus	compound	infections	[]	True
infections	nsubj	are	['Coronavirus', 'in', 'the', 'country']	False
in	prep	infections	['the', 'country']	False
the	det	country	[]	False
country	pobj	in	['the']	False
are	ROOT	are	['Coronavirus', 'infections', 'in', 'the', 'country', 'currently', 'at', 'an', 'all', '-', 'time', 'high', ',', 'and', 'Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']	False
currently	advmod	are	[]	False
at	prep	are	['an', 'all', '-', 'time', 'high']	False
an	det	high	[]	False
all	det	time	[]	False
-	punct	time	[]	False
time	npadvmod	high	['all', '-']	False
high	pobj	at	['an', 'all', '-', 'time']	False
,	punct	are	[]	False
and	cc	are	[]	False
Covid-19	compound	hospitalizations	[]	False
hospitalizations	nsubj	rising	['Covid-19']	False
have	aux	rising	[]	False
been	aux	rising	[]	False
rising	conj	are	['Covid-19', 'hospitalizations', 'have', 'been', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']	False
for	prep	rising	['five', 'weeks']	False
five	nummod	weeks	[]	False
weeks	pobj	for	['five']	False
,	punct	rising	[]	False
but	cc	rising	[]	False
intensive	amod	admissions	[]	False
care	compound	admissions	[]	False
admissions	nsubj	remained	['intensive', 'care']	False
have	aux	remained	[]	False
remained	conj	rising	['intensive', 'care', 'admissions', 'have', 'near', 'a', '100', '-', 'day', 'low', '.']	False
near	prep	remained	['a', '100', '-', 'day', 'low']	False
a	det	low	[]	False
100	nummod	day	[]	False
-	punct	day	[]	False
day	compound	low	['100', '-']	False
low	pobj	near	['a', '100', '-', 'day']	False
.	punct	remained	[]	False
From	prep	be	['February', '25']	True
February	pobj	From	['25']	False
25	nummod	February	[]	False
,	punct	be	[]	False
nightlife	compound	locations	[]	False
locations	nsubj	be	['nightlife', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating']	False
,	punct	locations	[]	False
festivals	conj	locations	['and', 'events']	False
and	cc	festivals	[]	False
events	conj	festivals	[]	False
without	prep	locations	['fixed', 'seating']	False
fixed	amod	seating	[]	False
seating	pobj	without	['fixed']	False
may	aux	be	[]	False
already	advmod	be	[]	False
be	ROOT	be	['From', 'February', '25', ',', 'nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating', 'may', 'already', 'open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection', '.']	False
open	acomp	be	['to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	False
to	prep	open	['people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	False
people	pobj	to	['who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']	False
who	nsubj	test	[]	False
test	relcl	people	['who', 'negative', 'for', 'the', 'coronavirus', 'infection']	False
negative	advmod	test	[]	False
for	prep	test	['the', 'coronavirus', 'infection']	False
the	det	infection	[]	False
coronavirus	compound	infection	[]	False
infection	pobj	for	['the', 'coronavirus']	False
.	punct	be	[]	False
These	det	changes	[]	True
changes	nsubjpass	expected	['These', 'to', 'policy', 'in', 'the', 'Netherlands']	False
to	aux	policy	[]	False
policy	relcl	changes	['to', 'in', 'the', 'Netherlands']	False
in	prep	policy	['the', 'Netherlands']	False
the	det	Netherlands	[]	False
Netherlands	pobj	in	['the']	False
are	auxpass	expected	[]	False
expected	ROOT	expected	['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands', 'are', 'to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday', '.']	False
to	aux	announced	[]	False
be	auxpass	announced	[]	False
announced	xcomp	expected	['to', 'be', 'at', 'a', 'press', 'conference', 'on', 'Tuesday']	False
at	prep	announced	['a', 'press', 'conference']	False
a	det	conference	[]	False
press	compound	conference	[]	False
conference	pobj	at	['a', 'press']	False
on	prep	announced	['Tuesday']	False
Tuesday	pobj	on	[]	False
.	punct	expected	[]	False
This	det	week	[]	True
week	npadvmod	said	['This']	False
,	punct	said	[]	False
Kuipers	nsubj	said	[]	False
said	ROOT	said	"['This', 'week', ',', 'Kuipers', 'the', 'government', ""'s"", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council', '.']"	False
the	det	government	[]	False
government	poss	focus	"['the', ""'s""]"	False
's	case	government	[]	False
new	amod	focus	[]	False
focus	nsubj	is	"['the', 'government', ""'s"", 'new']"	False
is	ccomp	said	"['the', 'government', ""'s"", 'new', 'focus', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']"	False
to	aux	keep	[]	False
keep	xcomp	is	['to', 'society', 'open']	False
society	dobj	keep	[]	False
open	oprd	keep	[]	False
,	punct	is	[]	False
which	nsubjpass	celebrated	[]	False
was	auxpass	celebrated	[]	False
celebrated	advcl	is	['which', 'was', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']	False
by	agent	celebrated	['the', 'mayors', 'on', 'the', 'Security', 'Council']	False
the	det	mayors	[]	False
mayors	pobj	by	['the', 'on', 'the', 'Security', 'Council']	False
on	prep	mayors	['the', 'Security', 'Council']	False
the	det	Council	[]	False
Security	compound	Council	[]	False
Council	pobj	on	['the', 'Security']	False
.	punct	said	[]	False
If	mark	think	[]	True
the	det	experts	[]	False
experts	nsubj	think	['the']	False
think	advcl	taken	"['If', 'the', 'experts', 'it', ""'s"", 'justified']"	False
it	nsubj	's	[]	False
's	auxpass	justified	['it']	False
justified	ccomp	think	"['it', ""'s""]"	False
,	punct	taken	[]	False
further	amod	steps	[]	False
steps	nsubjpass	taken	['further']	False
will	aux	taken	[]	False
probably	advmod	taken	[]	False
be	auxpass	taken	[]	False
taken	ROOT	taken	"['If', 'the', 'experts', 'think', 'it', ""'s"", 'justified', ',', 'further', 'steps', 'will', 'probably', 'be', 'at', 'the', 'beginning', 'of', 'March', '.']"	False
at	prep	taken	['the', 'beginning', 'of', 'March']	False
the	det	beginning	[]	False
beginning	pobj	at	['the', 'of', 'March']	False
of	prep	beginning	['March']	False
March	pobj	of	[]	False
.	punct	taken	[]	False
These	det	relaxations	[]	True
relaxations	nsubjpass	announced	['These']	False
may	aux	announced	[]	False
be	auxpass	announced	[]	False
announced	ROOT	announced	['These', 'relaxations', 'may', 'be', 'at', 'a', 'press', 'conference', 'on', 'March', '8', ',', 'but', 'that', 'is', 'not', 'yet', 'certain', '.']	False
at	prep	announced	['a', 'press', 'conference']	False
a	det	conference	[]	False
press	compound	conference	[]	False
conference	pobj	at	['a', 'press']	False
on	prep	announced	['March', '8']	False
March	pobj	on	['8']	False
8	nummod	March	[]	False
,	punct	announced	[]	False
but	cc	announced	[]	False
that	nsubj	is	[]	False
is	conj	announced	['that', 'not', 'yet', 'certain', '.']	False
not	neg	is	[]	False
yet	advmod	is	[]	False
certain	acomp	is	[]	False
.	punct	is	[]	False
Earlier	advmod	emerged	[]	True
in	prep	emerged	['the', 'day']	False
the	det	day	[]	False
day	pobj	in	['the']	False
it	nsubjpass	emerged	[]	False
was	auxpass	emerged	[]	False
emerged	ROOT	emerged	['Earlier', 'in', 'the', 'day', 'it', 'was', 'that', 'the', 'Cabinet', 'wants', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week', '.']	False
that	mark	wants	[]	False
the	det	Cabinet	[]	False
Cabinet	nsubj	wants	['the']	False
wants	ccomp	emerged	['that', 'the', 'Cabinet', 'to', 'extend', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']	False
to	aux	extend	[]	False
extend	xcomp	wants	['to', 'the', 'opening', 'hours', 'for', 'the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas', 'next', 'week']	False
the	det	hours	[]	False
opening	compound	hours	[]	False
hours	dobj	extend	['the', 'opening']	False
for	prep	extend	['the', 'hospitality', 'industry', ',', 'theaters', 'and', 'cinemas']	False
the	det	industry	[]	False
hospitality	compound	industry	[]	False
industry	pobj	for	['the', 'hospitality', ',', 'theaters', 'and', 'cinemas']	False
,	punct	industry	[]	False
theaters	conj	industry	['and', 'cinemas']	False
and	cc	theaters	[]	False
cinemas	conj	theaters	[]	False
next	amod	week	[]	False
week	npadvmod	extend	['next']	False
.	punct	emerged	[]	False
The	det	time	[]	True
exact	amod	time	[]	False
time	nsubjpass	discussed	['The', 'exact', 'of', 'closure']	False
of	prep	time	['closure']	False
closure	pobj	of	[]	False
is	aux	discussed	[]	False
still	advmod	discussed	[]	False
being	auxpass	discussed	[]	False
discussed	ROOT	discussed	['The', 'exact', 'time', 'of', 'closure', 'is', 'still', 'being', '.']	False
.	punct	discussed	[]	False
These	det	businesses	[]	True
businesses	nsubj	have	['These']	False
currently	advmod	have	[]	False
have	ROOT	have	['These', 'businesses', 'currently', 'to', 'close', 'at', '10', 'p.m.']	False
to	aux	close	[]	False
close	xcomp	have	['to', 'at', '10']	False
at	prep	close	['10']	False
10	pobj	at	[]	False
p.m.	npadvmod	have	[]	False
Customers	nsubj	have	[]	True
may	aux	have	[]	False
no	neg	longer	[]	False
longer	advmod	have	['no']	False
have	ROOT	have	['Customers', 'may', 'no', 'longer', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']	False
to	aux	remain	[]	False
remain	xcomp	have	['to', 'in', 'assigned', 'seats']	False
in	prep	remain	['assigned', 'seats']	False
assigned	amod	seats	[]	False
seats	pobj	in	['assigned']	False
,	punct	have	[]	False
and	cc	have	[]	False
social	amod	requirements	[]	False
distancing	compound	requirements	[]	False
requirements	nsubj	disappear	['social', 'distancing', 'in', 'the', 'hospitality', 'and']	False
in	prep	requirements	['the', 'hospitality', 'and']	False
the	det	hospitality	[]	False
hospitality	pobj	in	['the', 'and']	False
and	cc	hospitality	[]	False
cultural	amod	sector	[]	False
sector	nsubj	disappear	['cultural']	False
could	aux	disappear	[]	False
disappear	conj	have	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']	False
,	punct	disappear	[]	False
allowing	advcl	disappear	['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']	False
them	nsubj	increase	[]	False
to	aux	increase	[]	False
increase	ccomp	allowing	['them', 'to', 'attendance', 'to', 'maximum', 'capacity']	False
attendance	dobj	increase	['to', 'maximum', 'capacity']	False
to	prep	attendance	['maximum', 'capacity']	False
maximum	amod	capacity	[]	False
capacity	pobj	to	['maximum']	False
.	punct	disappear	[]	False
Furthermore	advmod	disappear	[]	True
,	punct	disappear	[]	False
according	prep	disappear	['to', 'sources', 'close', 'to', 'the', 'Cabinet']	False
to	prep	according	['sources', 'close', 'the', 'Cabinet']	False
sources	pobj	to	['close', 'to', 'the', 'Cabinet']	False
close	amod	sources	['to', 'the', 'Cabinet']	False
to	prep	close	['the', 'Cabinet']	False
the	det	Cabinet	[]	False
Cabinet	pobj	to	['the']	False
,	punct	disappear	[]	False
the	det	advice	[]	False
advice	nsubj	disappear	['the', 'to', 'work', 'from', 'home']	False
to	aux	work	[]	False
work	relcl	advice	['to', 'from', 'home']	False
from	prep	work	['home']	False
home	pobj	from	[]	False
will	aux	disappear	[]	False
also	advmod	disappear	[]	False
disappear	ROOT	disappear	['Furthermore', ',', 'according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet', ',', 'the', 'advice', 'to', 'work', 'from', 'home', 'will', 'also', '.']	False
.	punct	disappear	[]	False
The	det	advice	[]	True
current	amod	advice	[]	False
advice	nsubj	been	['The', 'current']	False
has	aux	been	[]	False
been	ROOT	been	['The', 'current', 'advice', 'has', 'in', 'effect', 'since', 'November', '26', '.']	False
in	prep	been	['effect']	False
effect	pobj	in	[]	False
since	prep	been	['November', '26']	False
November	pobj	since	['26']	False
26	nummod	November	[]	False
.	punct	been	[]	False
It	nsubjpass	announced	[]	True
will	aux	announced	[]	False
also	advmod	announced	[]	False
probably	advmod	announced	[]	False
be	auxpass	announced	[]	False
announced	ROOT	announced	['It', 'will', 'also', 'probably', 'be', 'next', 'week', 'that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted', '.']	False
next	amod	week	[]	False
week	npadvmod	announced	['next']	False
that	mark	lifted	[]	False
the	det	restriction	[]	False
restriction	nsubjpass	lifted	['the', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home']	False
to	aux	receive	[]	False
receive	acl	restriction	['to', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home']	False
a	quantmod	four	[]	False
maximum	quantmod	four	[]	False
of	quantmod	four	[]	False
four	nummod	people	['a', 'maximum', 'of']	False
people	dobj	receive	['a', 'maximum', 'of', 'four']	False
at	prep	receive	['home']	False
home	pobj	at	[]	False
will	aux	lifted	[]	False
be	auxpass	lifted	[]	False
lifted	ccomp	announced	['that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be']	False
.	punct	announced	[]	False
The	det	Cabinet	[]	True
Cabinet	nsubj	is	['The']	False
is	ROOT	is	"['The', 'Cabinet', '""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions', '.']"	False
""""	punct	optimistic	[]	False
cautiously	advmod	optimistic	[]	False
optimistic	acomp	is	"['""', 'cautiously', '""', 'about', 'hospital', 'admissions']"	False
""""	punct	optimistic	[]	False
about	prep	optimistic	['hospital', 'admissions']	False
hospital	compound	admissions	[]	False
admissions	pobj	about	['hospital']	False
.	punct	is	[]	False
These	nsubj	increased	[]	True
have	aux	increased	[]	False
increased	ROOT	increased	['These', 'have', 'over', 'the', 'last', 'five', 'weeks', ',', 'but', 'at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus', '.']	False
over	prep	increased	['the', 'last', 'five', 'weeks']	False
the	det	weeks	[]	False
last	amod	weeks	[]	False
five	nummod	weeks	[]	False
weeks	pobj	over	['the', 'last', 'five']	False
,	punct	increased	[]	False
but	cc	increased	[]	False
at	prep	compared	['a', 'much', 'lower', 'rate']	False
a	det	rate	[]	False
much	advmod	lower	[]	False
lower	amod	rate	['much']	False
rate	pobj	at	['a', 'much', 'lower']	False
compared	conj	increased	['at', 'a', 'much', 'lower', 'rate', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']	False
to	prep	compared	['the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'the', 'Omicron', 'virus']	False
the	det	numbers	[]	False
enormous	amod	numbers	[]	False
numbers	pobj	to	['the', 'enormous', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']	False
of	prep	numbers	['positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']	False
positive	amod	infections	[]	False
infections	pobj	of	['positive', 'linked', 'to', 'the', 'Omicron', 'virus']	False
linked	acl	infections	['to', 'the', 'Omicron', 'virus']	False
to	prep	linked	['the', 'Omicron', 'virus']	False
the	det	virus	[]	False
Omicron	compound	virus	[]	False
virus	pobj	to	['the', 'Omicron']	False
.	punct	increased	[]	False
""""	punct	is	[]	True
The	det	number	[]	False
number	nsubj	is	['The', 'of', 'infections']	False
of	prep	number	['infections']	False
infections	pobj	of	[]	False
is	ccomp	said	"['""', 'The', 'number', 'of', 'infections', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'not', 'too', 'bad']"	False
very	advmod	high	[]	False
high	acomp	is	['very']	False
,	punct	is	[]	False
but	cc	is	[]	False
fortunately	advmod	is	[]	False
the	det	pressure	[]	False
pressure	nsubj	is	['the', 'on', 'healthcare']	False
on	prep	pressure	['healthcare']	False
healthcare	pobj	on	[]	False
is	conj	is	['fortunately', 'the', 'pressure', 'on', 'healthcare', 'not', 'too', 'bad']	False
not	neg	is	[]	False
too	advmod	bad	[]	False
bad	acomp	is	['too']	False
,	punct	said	[]	False
""""	punct	said	[]	False
said	ROOT	said	"['""', 'The', 'number', 'of', 'infections', 'is', 'very', 'high', ',', 'but', 'fortunately', 'the', 'pressure', 'on', 'healthcare', 'is', 'not', 'too', 'bad', ',', '""', 'Health', 'Minister', 'Ernst', 'Kuipers', 'on', 'Wednesday', '.']"	False
Health	compound	Minister	[]	False
Minister	compound	Kuipers	['Health']	False
Ernst	compound	Kuipers	[]	False
Kuipers	nsubj	said	['Health', 'Minister', 'Ernst']	False
on	prep	said	['Wednesday']	False
Wednesday	pobj	on	[]	False
.	punct	said	[]	False
Cabinet	compound	members	[]	True
members	nsubj	want	['Cabinet']	False
did	aux	want	[]	False
not	neg	want	[]	False
want	ROOT	want	['Cabinet', 'members', 'did', 'not', 'to', 'publicly', 'anticipate', 'any', 'relaxations', '.']	False
to	aux	anticipate	[]	False
publicly	advmod	anticipate	[]	False
anticipate	xcomp	want	['to', 'publicly', 'any', 'relaxations']	False
any	det	relaxations	[]	False
relaxations	dobj	anticipate	['any']	False
.	punct	want	[]	False
Prime	compound	Minister	[]	True
Minister	compound	Rutte	['Prime']	False
Mark	compound	Rutte	[]	False
Rutte	nsubj	said	['Prime', 'Minister', 'Mark']	False
said	ROOT	said	"['Prime', 'Minister', 'Mark', 'Rutte', 'on', 'Wednesday', 'that', 'the', 'chance', 'is', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible', '.']"	False
on	prep	said	['Wednesday']	False
Wednesday	pobj	on	[]	False
that	mark	is	[]	False
the	det	chance	[]	False
chance	nsubj	is	['the']	False
is	ccomp	said	"['that', 'the', 'chance', '""', 'really', 'high', '""', 'that', 'loosening', 'up', 'restrictions', 'will', 'be', 'possible']"	False
""""	punct	high	[]	False
really	advmod	high	[]	False
high	acomp	is	"['""', 'really', '""']"	False
""""	punct	high	[]	False
that	mark	be	[]	False
loosening	csubj	be	['up', 'restrictions']	False
up	prt	loosening	[]	False
restrictions	dobj	loosening	[]	False
will	aux	be	[]	False
be	ccomp	is	['that', 'loosening', 'up', 'restrictions', 'will', 'possible']	False
possible	acomp	be	[]	False
.	punct	said	[]	False
Cabinet	compound	ministers	[]	True
ministers	nsubj	met	['Cabinet']	False
met	ROOT	met	['Cabinet', 'ministers', 'for', 'an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy', 'on', 'Wednesday', 'morning', ',', 'and', 'the', 'OMT', 'will', 'meet', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']	False
for	prep	met	['an', 'extra', 'meeting', 'about', 'the', 'coronavirus', 'policy']	False
an	det	meeting	[]	False
extra	amod	meeting	[]	False
meeting	pobj	for	['an', 'extra', 'about', 'the', 'coronavirus', 'policy']	False
about	prep	meeting	['the', 'coronavirus', 'policy']	False
the	det	policy	[]	False
coronavirus	compound	policy	[]	False
policy	pobj	about	['the', 'coronavirus']	False
on	prep	met	['Wednesday', 'morning']	False
Wednesday	compound	morning	[]	False
morning	pobj	on	['Wednesday']	False
,	punct	met	[]	False
and	cc	met	[]	False
the	det	OMT	[]	False
OMT	nsubj	meet	['the']	False
will	aux	meet	[]	False
meet	conj	met	['the', 'OMT', 'will', 'again', 'to', 'discuss', 'the', 'issue', 'on', 'Friday', '.']	False
again	advmod	meet	[]	False
to	aux	discuss	[]	False
discuss	advcl	meet	['to', 'the', 'issue', 'on', 'Friday']	False
the	det	issue	[]	False
issue	dobj	discuss	['the']	False
on	prep	discuss	['Friday']	False
Friday	pobj	on	[]	False
.	punct	meet	[]	False
Rutte	nsubj	said	[]	True
said	ccomp	said	"['Rutte', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"	False
the	det	Cabinet	[]	False
Cabinet	nsubj	inform	['the']	False
could	aux	inform	[]	False
inform	ccomp	said	"['the', 'Cabinet', 'could', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"	False
the	det	Kamer	[]	False
Tweede	compound	Kamer	[]	False
Kamer	dobj	inform	['the', 'Tweede']	False
about	prep	inform	"['what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend']"	False
what	dobj	considering	[]	False
it	nsubj	considering	[]	False
's	aux	considering	[]	False
considering	pcomp	about	"['what', 'it', ""'s"", 'even', 'before', 'the', 'weekend']"	False
even	advmod	before	[]	False
before	prep	considering	['even', 'the', 'weekend']	False
the	det	weekend	[]	False
weekend	pobj	before	['the']	False
,	punct	inform	[]	False
""""	punct	inform	[]	False
a	det	sort	[]	False
sort	dobj	inform	"['a', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures']"	False
of	prep	sort	"[""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'measures']"	False
'	punct	of	[]	False
what	nsubj	be	[]	False
could	aux	be	[]	False
be	pcomp	of	"['what', 'could', ""'"", 'package', '""', 'of', 'measures']"	False
'	punct	package	[]	False
package	attr	be	"[""'"", '""', 'of', 'measures']"	False
""""	punct	package	[]	False
of	prep	package	['measures']	False
measures	pobj	of	[]	False
,	punct	said	[]	False
he	nsubj	said	[]	False
said	ROOT	said	"['Rutte', 'the', 'Cabinet', 'could', 'inform', 'the', 'Tweede', 'Kamer', 'about', 'what', 'it', ""'s"", 'considering', 'even', 'before', 'the', 'weekend', ',', '""', 'a', 'sort', 'of', ""'"", 'what', 'could', 'be', ""'"", 'package', '""', 'of', 'measures', ',', 'he', '.']"	False
.	punct	said	[]	False
In	prep	have	['addition']	True
addition	pobj	In	[]	False
,	punct	have	[]	False
the	det	Cabinet	[]	False
Cabinet	nsubj	have	['the']	False
will	aux	have	[]	False
