,sentence,full_tree,first_entity,second_entity,shortest_dep_path
12,"Furthermore, according to sources close to the Cabinet, the advice to work from home will also disappear.","(ROOT (S (ADVP (RB Furthermore)) (, ,) (PP (VBG according) (PP (IN to) (NP (NP (NNS sources)) (ADJP (JJ close) (PP (IN to) (NP (DT the) (NNP Cabinet))))))) (, ,) (NP (DT the) (NN advice) (S (VP (TO to) (VP (VB work) (PP (IN from) (NP (NN home))))))) (VP (MD will) (ADVP (RB also)) (VP (VB disappear))) (. .)))",,,
13,The current advice has been in effect since November 26.,(ROOT (S (NP (DT The) (JJ current) (NN advice)) (VP (VBZ has) (VP (VBN been) (PP (IN in) (NP (NN effect))) (PP (IN since) (NP (NNP November) (CD 26))))) (. .))),,,
14,It will also probably be announced next week that the restriction to receive a maximum of four people at home will be lifted.,(ROOT (S (NP (PRP It)) (VP (MD will) (ADVP (RB also)) (ADVP (RB probably)) (VP (VB be) (VP (VBN announced) (NP (JJ next) (NN week)) (SBAR (IN that) (S (NP (DT the) (NN restriction) (S (VP (TO to) (VP (VB receive) (NP (NP (DT a) (NN maximum)) (PP (IN of) (NP (CD four) (NNS people)))) (PP (IN at) (NP (NN home))))))) (VP (MD will) (VP (VB be) (VP (VBN lifted))))))))) (. .))),,,
15,"The Cabinet is ""cautiously optimistic"" about hospital admissions.","(ROOT (S (NP (DT The) (NNP Cabinet)) (VP (VBZ is) (ADVP (`` "")) (ADJP (ADJP (RB cautiously) (JJ optimistic)) ('' "") (PP (IN about) (NP (NN hospital) (NNS admissions))))) (. .)))",,,
16,"These have increased over the last five weeks, but at a much lower rate compared to the enormous numbers of positive infections linked to the Omicron virus.","(ROOT (S (S (NP (DT These)) (VP (VBP have) (VP (VBN increased) (PP (IN over) (NP (DT the) (JJ last) (CD five) (NNS weeks)))))) (, ,) (CC but) (S (PP (IN at) (NP (DT a) (ADJP (RB much) (JJR lower)) (NN rate))) (PP (VBN compared) (PP (IN to) (NP (NP (DT the) (JJ enormous) (NNS numbers)) (PP (IN of) (NP (NP (JJ positive) (NNS infections)) (VP (VBN linked) (PP (IN to) (NP (DT the) (NNP Omicron) (NN virus)))))))))) (. .)))",,,
17,"""The number of infections is very high, but fortunately the pressure on healthcare is not too bad,"" said Health Minister Ernst Kuipers on Wednesday.","(ROOT (S (SBAR (`` "") (S (NP (NP (DT The) (NN number)) (PP (IN of) (NP (NNS infections)))) (VP (VBZ is) (ADJP (RB very) (JJ high))))) (, ,) (CC but) (ADVP (RB fortunately)) (S (NP (NP (DT the) (NN pressure)) (PP (IN on) (NP (NN healthcare)))) (VP (VBZ is) (RB not) (ADJP (RB too) (JJ bad)))) (, ,) ('' "") (SINV (VP (VBD said)) (NP (NML (NNP Health) (NNP Minister)) (NNP Ernst) (NNP Kuipers)) (PP (IN on) (NP (NNP Wednesday)))) (. .)))",,,
18,Cabinet members did not want to publicly anticipate any relaxations.,(ROOT (S (NP (NN Cabinet) (NNS members)) (VP (VBD did) (RB not) (VP (VB want) (S (VP (TO to) (ADVP (RB publicly)) (VP (VB anticipate) (NP (DT any) (NNS relaxations))))))) (. .))),members,relaxations,"['members', 'want', 'anticipate', 'relaxations']"
19,"Prime Minister Mark Rutte said on Wednesday that the chance is ""really high"" that loosening up restrictions will be possible.","(ROOT (S (NP (NML (NNP Prime) (NNP Minister)) (NNP Mark) (NNP Rutte)) (VP (VBD said) (PP (IN on) (NP (NNP Wednesday))) (SBAR (IN that) (S (NP (DT the) (NN chance)) (VP (VBZ is) (ADVP (`` "")) (ADJP (ADJP (RB really) (JJ high)) ('' "") (SBAR (IN that) (S (S (VP (VBG loosening) (PRT (RP up)) (NP (NNS restrictions)))) (VP (MD will) (VP (VB be) (ADJP (JJ possible))))))))))) (. .)))",rutte,restrictions,"['rutte', 'said', 'is', 'be', 'loosening', 'restrictions']"
20,"Cabinet ministers met for an extra meeting about the coronavirus policy on Wednesday morning, and the OMT will meet again to discuss the issue on Friday.","(ROOT (S (S (NP (NN Cabinet) (NNS ministers)) (VP (VBD met) (PP (IN for) (NP (NP (DT an) (JJ extra) (NN meeting)) (PP (IN about) (NP (DT the) (NN coronavirus) (NN policy))) (PP (IN on) (NP (NNP Wednesday) (NN morning))))))) (, ,) (CC and) (S (NP (DT the) (NNP OMT)) (VP (MD will) (VP (VB meet) (ADVP (RB again)) (S (VP (TO to) (VP (VB discuss) (NP (DT the) (NN issue)) (PP (IN on) (NP (NNP Friday))))))))) (. .)))",ministers,issue,"['ministers', 'met', 'meet', 'discuss', 'issue']"
21,"Rutte said the Cabinet could inform the Tweede Kamer about what it's considering even before the weekend, ""a sort of 'what could be' package"" of measures, he said.","(ROOT (S (S (NP (NNP Rutte)) (VP (VBD said) (SBAR (S (NP (DT the) (NNP Cabinet)) (VP (MD could) (VP (VB inform) (NP (DT the) (NNP Tweede) (NNP Kamer)) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG considering) (PP (ADVP (RB even)) (IN before) (NP (DT the) (NN weekend)))))))) (, ,) (PP (`` "") (NP (NP (NP (DT a) (NN sort)) (PP (IN of) (NP (`` ')))) (SBAR (WHNP (WP what)) (S (VP (MD could) (VP (VB be) (`` ') (NP (NP (NN package)) (PP ('' "") (PP (IN of) (NP (NNS measures))))))))))))))))) (, ,) (NP (PRP he)) (VP (VBD said)) (. .)))",rutte,kamer,"['rutte', 'said', 'inform', 'kamer']"
22,"In addition, the Cabinet will have to make it clear that all these relaxations may not be implemented, particularly if the OMT sees a problem with the proposal.","(ROOT (S (PP (IN In) (NP (NN addition))) (, ,) (NP (DT the) (NNP Cabinet)) (VP (MD will) (VP (VB have) (S (VP (TO to) (VP (VB make) (S (NP (NP (PRP it))) (ADJP (JJ clear)) (SBAR (IN that) (S (NP (PDT all) (DT these) (NNS relaxations)) (VP (MD may) (RB not) (VP (VB be) (VP (VBN implemented)))))))))) (, ,) (SBAR (ADVP (RB particularly)) (IN if) (S (NP (DT the) (NNP OMT)) (VP (VBZ sees) (NP (DT a) (NN problem)) (PP (IN with) (NP (DT the) (NN proposal)))))))) (. .)))",cabinet,problem,"['cabinet', 'the', 'omt', 'sees', 'problem']"
23,Anything taken off the table in the interim will be made clear on Tuesday.,(ROOT (S (NP (NP (NN Anything)) (VP (VBN taken) (PRT (IN off)) (NP (DT the) (NN table)) (PP (IN in) (NP (DT the) (NN interim))))) (VP (MD will) (VP (VB be) (VP (VBN made) (S (ADJP (JJ clear))) (PP (IN on) (NP (NNP Tuesday)))))) (. .))),anything,table,"['anything', 'taken', 'table']"
24,Far-reaching elimination of restrictions will also be announced in other European countries in the coming days.,(ROOT (S (NP (NP (JJ Far-reaching) (NN elimination)) (PP (IN of) (NP (NNS restrictions)))) (VP (MD will) (ADVP (RB also)) (VP (VB be) (VP (VBN announced) (PP (IN in) (NP (JJ other) (JJ European) (NNS countries))) (PP (IN in) (NP (DT the) (VBG coming) (NNS days)))))) (. .))),,,
25,"For example, the Belgian minister handling coronavirus issues, Frank Vandenbroucke, expects that almost all coronavirus measures will be withdrawn in Belgium next Friday.","(ROOT (S (PP (IN For) (NP (NN example))) (, ,) (NP (NP (DT the) (JJ Belgian) (NN minister)) (VP (VBG handling) (NP (NP (NN coronavirus) (NNS issues)) (, ,) (NP (NNP Frank) (NNP Vandenbroucke)) (, ,)))) (VP (VBZ expects) (SBAR (IN that) (S (NP (QP (RB almost) (DT all)) (NN coronavirus) (NNS measures)) (VP (MD will) (VP (VB be) (VP (VBN withdrawn) (PP (IN in) (NP (NNP Belgium))) (NP (JJ next) (NNP Friday)))))))) (. .)))",minister,issues,"['minister', 'handling', 'issues']"
