token	dependency	head	dependent	constituent
discussed	ROOT	discussed	['time', 'is', 'still', 'being', '.']	['The', 'exact', 'time', 'of', 'closure', 'is', 'still', 'being', 'discussed', '.']
.	punct	discussed	[]	['.']
These	det	businesses	[]	['These']
businesses	nsubj	have	['These']	['These', 'businesses']
currently	advmod	have	[]	['currently']
have	ROOT	have	['businesses', 'currently', 'close', 'have', '.']	['These', 'businesses', 'currently', 'have', 'to', 'close', 'at', '10', 'p.m.', 'Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity', '.']
to	aux	close	[]	['to']
close	xcomp	have	['to', 'at']	['to', 'close', 'at', '10', 'p.m.']
at	prep	close	['p.m.']	['at', '10', 'p.m.']
10	nummod	p.m.	[]	['10']
p.m.	pobj	at	['10']	['10', 'p.m.']
Customers	nsubj	have	[]	['Customers']
may	aux	have	[]	['may']
no	neg	longer	[]	['no']
longer	advmod	have	['no']	['no', 'longer']
have	conj	have	['Customers', 'may', 'longer', 'remain', ',', 'and', 'disappear']	['Customers', 'may', 'no', 'longer', 'have', 'to', 'remain', 'in', 'assigned', 'seats', ',', 'and', 'social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
to	aux	remain	[]	['to']
remain	xcomp	have	['to', 'in']	['to', 'remain', 'in', 'assigned', 'seats']
in	prep	remain	['seats']	['in', 'assigned', 'seats']
assigned	amod	seats	[]	['assigned']
seats	pobj	in	['assigned']	['assigned', 'seats']
,	punct	have	[]	[',']
and	cc	have	[]	['and']
social	amod	requirements	[]	['social']
distancing	compound	requirements	[]	['distancing']
requirements	nsubj	disappear	['social', 'distancing', 'in']	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector']
in	prep	requirements	['hospitality']	['in', 'the', 'hospitality', 'and', 'cultural', 'sector']
the	det	hospitality	[]	['the']
hospitality	pobj	in	['the', 'and', 'sector']	['the', 'hospitality', 'and', 'cultural', 'sector']
and	cc	hospitality	[]	['and']
cultural	amod	sector	[]	['cultural']
sector	conj	hospitality	['cultural']	['cultural', 'sector']
could	aux	disappear	[]	['could']
disappear	conj	have	['requirements', 'could', ',', 'allowing']	['social', 'distancing', 'requirements', 'in', 'the', 'hospitality', 'and', 'cultural', 'sector', 'could', 'disappear', ',', 'allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
,	punct	disappear	[]	[',']
allowing	advcl	disappear	['increase']	['allowing', 'them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
them	nsubj	increase	[]	['them']
to	aux	increase	[]	['to']
increase	ccomp	allowing	['them', 'to', 'attendance']	['them', 'to', 'increase', 'attendance', 'to', 'maximum', 'capacity']
attendance	dobj	increase	['to']	['attendance', 'to', 'maximum', 'capacity']
to	prep	attendance	['capacity']	['to', 'maximum', 'capacity']
maximum	amod	capacity	[]	['maximum']
capacity	pobj	to	['maximum']	['maximum', 'capacity']
.	punct	have	[]	['.']
Furthermore	advmod	disappear	[]	['Furthermore']
,	punct	disappear	[]	[',']
according	prep	disappear	['to']	['according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet']
to	prep	according	['sources']	['to', 'sources', 'close', 'to', 'the', 'Cabinet']
sources	pobj	to	['close']	['sources', 'close', 'to', 'the', 'Cabinet']
close	amod	sources	['to']	['close', 'to', 'the', 'Cabinet']
to	prep	close	['Cabinet']	['to', 'the', 'Cabinet']
the	det	Cabinet	[]	['the']
Cabinet	pobj	to	['the']	['the', 'Cabinet']
,	punct	disappear	[]	[',']
the	det	advice	[]	['the']
advice	nsubj	disappear	['the', 'work']	['the', 'advice', 'to', 'work', 'from', 'home']
to	aux	work	[]	['to']
work	relcl	advice	['to', 'from']	['to', 'work', 'from', 'home']
from	prep	work	['home']	['from', 'home']
home	pobj	from	[]	['home']
will	aux	disappear	[]	['will']
also	advmod	disappear	[]	['also']
disappear	ROOT	disappear	['Furthermore', ',', 'according', ',', 'advice', 'will', 'also', '.']	['Furthermore', ',', 'according', 'to', 'sources', 'close', 'to', 'the', 'Cabinet', ',', 'the', 'advice', 'to', 'work', 'from', 'home', 'will', 'also', 'disappear', '.']
.	punct	disappear	[]	['.']
The	det	advice	[]	['The']
current	amod	advice	[]	['current']
advice	nsubj	been	['The', 'current']	['The', 'current', 'advice']
has	aux	been	[]	['has']
been	ROOT	been	['advice', 'has', 'in', 'since', '.']	['The', 'current', 'advice', 'has', 'been', 'in', 'effect', 'since', 'November', '26', '.']
in	prep	been	['effect']	['in', 'effect']
effect	pobj	in	[]	['effect']
since	prep	been	['November']	['since', 'November', '26']
November	pobj	since	['26']	['November', '26']
26	nummod	November	[]	['26']
.	punct	been	[]	['.']
It	nsubjpass	announced	[]	['It']
will	aux	announced	[]	['will']
also	advmod	announced	[]	['also']
probably	advmod	announced	[]	['probably']
be	auxpass	announced	[]	['be']
announced	ROOT	announced	['It', 'will', 'also', 'probably', 'be', 'week', 'lifted', '.']	['It', 'will', 'also', 'probably', 'be', 'announced', 'next', 'week', 'that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted', '.']
next	amod	week	[]	['next']
week	npadvmod	announced	['next']	['next', 'week']
that	mark	lifted	[]	['that']
the	det	restriction	[]	['the']
restriction	nsubjpass	lifted	['the', 'receive']	['the', 'restriction', 'to', 'receive', 'a', 'maximum']
to	aux	receive	[]	['to']
receive	acl	restriction	['to', 'maximum']	['to', 'receive', 'a', 'maximum']
a	det	maximum	[]	['a']
maximum	dobj	receive	['a']	['a', 'maximum']
of	quantmod	four	[]	['of']
four	nummod	people	['of']	['of', 'four']
people	nsubjpass	lifted	['four', 'at']	['of', 'four', 'people', 'at', 'home']
at	prep	people	['home']	['at', 'home']
home	pobj	at	[]	['home']
will	aux	lifted	[]	['will']
be	auxpass	lifted	[]	['be']
lifted	ccomp	announced	['that', 'restriction', 'people', 'will', 'be']	['that', 'the', 'restriction', 'to', 'receive', 'a', 'maximum', 'of', 'four', 'people', 'at', 'home', 'will', 'be', 'lifted']
.	punct	announced	[]	['.']
The	det	Cabinet	[]	['The']
Cabinet	nsubj	is	['The']	['The', 'Cabinet']
is	ROOT	is	['Cabinet', 'optimistic', '.']	"['The', 'Cabinet', 'is', '""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions', '.']"
""""	punct	optimistic	[]	"['""']"
cautiously	advmod	optimistic	[]	['cautiously']
optimistic	acomp	is	"['""', 'cautiously', '""', 'about']"	"['""', 'cautiously', 'optimistic', '""', 'about', 'hospital', 'admissions']"
""""	punct	optimistic	[]	"['""']"
about	prep	optimistic	['admissions']	['about', 'hospital', 'admissions']
hospital	compound	admissions	[]	['hospital']
admissions	pobj	about	['hospital']	['hospital', 'admissions']
.	punct	is	[]	['.']
These	nsubj	increased	[]	['These']
have	aux	increased	[]	['have']
increased	ROOT	increased	['These', 'have', 'over', ',', 'but', 'at', '.']	['These', 'have', 'increased', 'over', 'the', 'last', 'five', 'weeks', ',', 'but', 'at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus', '.']
over	prep	increased	['weeks']	['over', 'the', 'last', 'five', 'weeks']
the	det	weeks	[]	['the']
last	amod	weeks	[]	['last']
five	nummod	weeks	[]	['five']
weeks	pobj	over	['the', 'last', 'five']	['the', 'last', 'five', 'weeks']
,	punct	increased	[]	[',']
but	cc	increased	[]	['but']
at	conj	increased	['rate']	['at', 'a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
a	det	rate	[]	['a']
much	advmod	lower	[]	['much']
lower	amod	rate	['much']	['much', 'lower']
rate	pobj	at	['a', 'lower', 'compared']	['a', 'much', 'lower', 'rate', 'compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
compared	prep	rate	['to']	['compared', 'to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
to	prep	compared	['numbers']	['to', 'the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
the	det	numbers	[]	['the']
enormous	amod	numbers	[]	['enormous']
numbers	pobj	to	['the', 'enormous', 'of']	['the', 'enormous', 'numbers', 'of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
of	prep	numbers	['infections']	['of', 'positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
positive	amod	infections	[]	['positive']
infections	pobj	of	['positive', 'linked']	['positive', 'infections', 'linked', 'to', 'the', 'Omicron', 'virus']
linked	acl	infections	['to']	['linked', 'to', 'the', 'Omicron', 'virus']
to	prep	linked	['virus']	['to', 'the', 'Omicron', 'virus']
the	det	virus	[]	['the']
Omicron	compound	virus	[]	['Omicron']
virus	pobj	to	['the', 'Omicron']	['the', 'Omicron', 'virus']
.	punct	increased	[]	['.']
""""	punct	is	[]	"['""']"
The	det	number	[]	['The']
number	nsubj	is	['The', 'of']	['The', 'number', 'of', 'infections']
