,token,nature,head,nr_of_dependents,constituent_of_head,constituency_paths
16,beginning,OTH,by,2,"['the', 'beginning', 'of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
17,of,PREP,beginning,1,"['of', 'March']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
18,March,OTH,of,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NNP']"
19,",",OTH,abolish,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', ',']"
20,including,PREP,abolish,1,"['including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'VBG']"
21,the,OTH,use,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
22,use,OTH,including,4,"['the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NN']"
23,of,PREP,use,1,"['of', 'face', 'masks']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'IN']"
24,face,MOD,masks,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NN']"
25,masks,OTH,of,1,"['face', 'masks']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NNS']"
26,and,OTH,use,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'CC']"
27,the,OTH,rule,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'DT']"
28,1.5,MOD,meter,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'CD']"
29,meter,OTH,rule,1,"['1.5', 'meter']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'NN']"
30,social,MOD,distancing,0,NOT_HEAD,"['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'JJ']"
31,distancing,MOD,rule,1,"['social', 'distancing']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NML', 'NN']"
32,rule,OTH,use,3,"['the', '1.5', 'meter', 'social', 'distancing', 'rule']","['S', 'S', 'VP', 'S', 'VP', 'VP', 'ADJP', 'S', 'VP', 'VP', 'PP', 'NP', 'PP', 'NP', 'NP', 'NN']"
33,",",OTH,said,0,NOT_HEAD,"['S', ',']"
34,sources,OTH,said,0,NOT_HEAD,"['S', 'NP', 'NNS']"
35,said,VERB,said,4,"['The', 'Cabinet', 'hopes', 'to', 'be', 'able', 'to', 'abolish', 'most', 'of', 'the', 'remaining', 'corona', 'measures', 'by', 'the', 'beginning', 'of', 'March', ',', 'including', 'the', 'use', 'of', 'face', 'masks', 'and', 'the', '1.5', 'meter', 'social', 'distancing', 'rule', ',', 'sources', 'said', '.']","['S', 'VP', 'VBD']"
36,.,OTH,said,0,NOT_HEAD,"['S', '.']"
38,Those,OTH,wanting,0,NOT_HEAD,"['S', 'NP', 'NP', 'DT']"
39,wanting,VERB,required,2,"['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'VBG']"
40,to,OTH,attend,0,NOT_HEAD,"['S', 'NP', 'VP', 'S', 'VP', 'TO']"
41,attend,VERB,wanting,2,"['to', 'attend', 'large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'S', 'VP', 'VP', 'VB']"
42,large,MOD,festivals,0,NOT_HEAD,"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
43,festivals,OTH,attend,3,"['large', 'festivals', 'and', 'events']","['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'NNS']"
44,and,OTH,festivals,0,NOT_HEAD,"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'CC']"
45,events,OTH,festivals,0,NOT_HEAD,"['S', 'NP', 'VP', 'S', 'VP', 'VP', 'NP', 'NNS']"
46,will,OTH,required,0,NOT_HEAD,"['S', 'VP', 'MD']"
47,be,OTH,required,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
48,required,VERB,required,5,"['Those', 'wanting', 'to', 'attend', 'large', 'festivals', 'and', 'events', 'will', 'be', 'required', 'to', 'show', 'a', 'negative', 'coronavirus', 'test', '.']","['S', 'VP', 'VP', 'VP', 'VBN']"
49,to,OTH,show,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'TO']"
50,show,VERB,required,2,"['to', 'show', 'a', 'negative', 'coronavirus', 'test']","['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
51,a,OTH,test,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'DT']"
52,negative,MOD,test,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'JJ']"
53,coronavirus,MOD,test,0,NOT_HEAD,"['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
54,test,OTH,show,3,"['a', 'negative', 'coronavirus', 'test']","['S', 'VP', 'VP', 'VP', 'S', 'VP', 'VP', 'NP', 'NN']"
55,.,OTH,required,0,NOT_HEAD,"['S', '.']"
56,The,OTH,Cabinet,0,NOT_HEAD,"['S', 'NP', 'DT']"
57,Cabinet,OTH,wants,1,"['The', 'Cabinet']","['S', 'NP', 'NNP']"
58,first,TUN,wants,0,NOT_HEAD,"['S', 'ADVP', 'RB']"
59,wants,VERB,wants,5,"['The', 'Cabinet', 'first', 'wants', 'to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')', 'whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action', '.']","['S', 'VP', 'VBZ']"
60,to,OTH,hear,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'TO']"
61,hear,VERB,wants,2,"['to', 'hear', 'from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'VB']"
62,from,PREP,hear,1,"['from', 'the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'IN']"
63,the,OTH,Team,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'DT']"
64,Outbreak,MOD,Management,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NML', 'NNP']"
65,Management,MOD,Team,1,"['Outbreak', 'Management']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NML', 'NNP']"
66,Team,OTH,from,5,"['the', 'Outbreak', 'Management', 'Team', '(', 'OMT', ')']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNP']"
67,(,OTH,Team,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', '-LRB-']"
68,OMT,MOD,Team,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'NP', 'NNP']"
69,),OTH,Team,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', '-RRB-']"
70,whether,OTH,is,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'IN']"
71,such,MOD,relaxation,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'JJ']"
72,extensive,MOD,relaxation,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'JJ']"
73,relaxation,OTH,is,3,"['such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'NN']"
74,of,PREP,relaxation,1,"['of', 'the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'IN']"
75,the,OTH,restrictions,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'NP', 'DT']"
76,restrictions,OTH,of,2,"['the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'NP', 'NNS']"
77,in,PREP,restrictions,1,"['in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'IN']"
78,the,OTH,Netherlands,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'DT']"
79,Netherlands,OTH,in,1,"['the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'NNPS']"
80,is,VERB,wants,3,"['whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'VBZ']"
81,a,OTH,course,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'DT']"
82,responsible,MOD,course,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'JJ']"
83,course,OTH,is,3,"['a', 'responsible', 'course', 'of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'NN']"
84,of,PREP,course,1,"['of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'PP', 'IN']"
85,action,OTH,of,0,NOT_HEAD,"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'PP', 'NP', 'NN']"
86,.,OTH,wants,0,NOT_HEAD,"['S', '.']"
88,Coronavirus,MOD,infections,0,NOT_HEAD,"['S', 'PP', 'IN']"
89,infections,OTH,are,2,"['Coronavirus', 'infections', 'in', 'the', 'country']","['S', 'PP', 'NP', 'NNP']"
90,in,PREP,infections,1,"['in', 'the', 'country']","['S', 'PP', 'NP', 'CD']"
91,the,OTH,country,0,NOT_HEAD,"['S', ',']"
92,country,OTH,in,1,"['the', 'country']","['S', 'NP', 'NP', 'NN']"
93,are,VERB,are,6,"['Coronavirus', 'infections', 'in', 'the', 'country', 'are', 'currently', 'at', 'an', 'all', '-', 'time', 'high', ',', 'and', 'Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']","['S', 'NP', 'NP', 'NNS']"
94,currently,TUN,are,0,NOT_HEAD,"['S', 'NP', ',']"
95,at,PREP,are,1,"['at', 'an', 'all', '-', 'time', 'high']","['S', 'NP', 'NP', 'NNS']"
96,an,OTH,high,0,NOT_HEAD,"['S', 'NP', 'CC']"
97,all,OTH,time,0,NOT_HEAD,"['S', 'NP', 'NP', 'NP', 'NNS']"
98,-,OTH,time,0,NOT_HEAD,"['S', 'NP', 'NP', 'PP', 'IN']"
99,time,OTH,high,2,"['all', '-', 'time']","['S', 'NP', 'NP', 'PP', 'NP', 'VBN']"
100,high,OTH,at,2,"['an', 'all', '-', 'time', 'high']","['S', 'NP', 'NP', 'PP', 'NP', 'NN']"
101,",",OTH,are,0,NOT_HEAD,"['S', 'VP', 'MD']"
102,and,OTH,are,0,NOT_HEAD,"['S', 'VP', 'ADVP', 'RB']"
103,Covid-19,MOD,hospitalizations,0,NOT_HEAD,"['S', 'VP', 'VP', 'VB']"
104,hospitalizations,OTH,rising,1,"['Covid-19', 'hospitalizations']","['S', 'VP', 'VP', 'ADJP', 'JJ']"
105,have,OTH,rising,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'IN']"
106,been,OTH,rising,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'NP', 'NNS']"
107,rising,OTH,are,8,"['Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'WHNP', 'WP']"
108,for,PREP,rising,1,"['for', 'five', 'weeks']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VBP']"
109,five,MOD,weeks,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'ADJP', 'JJ']"
110,weeks,OTH,for,1,"['five', 'weeks']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'IN']"
111,",",OTH,rising,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'DT']"
112,but,OTH,rising,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
113,intensive,MOD,admissions,0,NOT_HEAD,"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
114,care,MOD,admissions,0,NOT_HEAD,"['S', '.']"
115,admissions,OTH,remained,2,"['intensive', 'care', 'admissions']","['S', 'S', 'NP', 'NP', 'NN']"
116,have,OTH,remained,0,NOT_HEAD,"['S', 'S', 'NP', 'NP', 'NNS']"
117,remained,OTH,rising,3,"['intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low']","['S', 'S', 'NP', 'PP', 'IN']"
118,near,PREP,remained,1,"['near', 'a', '100', '-', 'day', 'low']","['S', 'S', 'NP', 'PP', 'NP', 'DT']"
119,a,OTH,low,0,NOT_HEAD,"['S', 'S', 'NP', 'PP', 'NP', 'NN']"
120,100,MOD,day,0,NOT_HEAD,"['S', 'S', 'VP', 'VBP']"
121,-,OTH,day,0,NOT_HEAD,"['S', 'S', 'VP', 'ADVP', 'RB']"
122,day,MOD,low,2,"['100', '-', 'day']","['S', 'S', 'VP', 'PP', 'IN']"
123,low,OTH,near,2,"['a', '100', '-', 'day', 'low']","['S', 'S', 'VP', 'PP', 'NP', 'DT']"
124,.,OTH,rising,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'NML', 'DT']"
125,From,PREP,be,1,"['From', 'February', '25']","['S', 'S', 'VP', 'PP', 'NP', 'NML', 'HYPH']"
126,February,OTH,From,1,"['February', '25']","['S', 'S', 'VP', 'PP', 'NP', 'NML', 'NN']"
127,25,MOD,February,0,NOT_HEAD,"['S', 'S', 'VP', 'PP', 'NP', 'JJ']"
128,",",OTH,be,0,NOT_HEAD,"['S', ',']"
129,nightlife,MOD,locations,0,NOT_HEAD,"['S', 'CC']"
130,locations,OTH,be,4,"['nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating']","['S', 'S', 'NP', 'NML', 'NNP']"
131,",",OTH,locations,0,NOT_HEAD,"['S', 'S', 'NP', 'NML', 'CD']"
132,festivals,OTH,locations,2,"['festivals', 'and', 'events']","['S', 'S', 'NP', 'NNS']"
133,and,OTH,festivals,0,NOT_HEAD,"['S', 'S', 'VP', 'VBP']"
134,events,OTH,festivals,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VBN']"
135,without,PREP,locations,1,"['without', 'fixed', 'seating']","['S', 'S', 'VP', 'VP', 'VP', 'VBG']"
136,fixed,MOD,seating,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
137,seating,OTH,without,1,"['fixed', 'seating']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'CD']"
138,may,OTH,be,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
139,already,TUN,be,0,NOT_HEAD,"['S', ',']"
140,be,VERB,be,7,"['From', 'February', '25', ',', 'nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating', 'may', 'already', 'be', 'open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection', '.']","['S', 'CC']"
141,open,OTH,be,1,"['open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'JJ']"
142,to,PREP,open,1,"['to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'NN']"
143,people,OTH,to,1,"['people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'NNS']"
144,who,OTH,test,0,NOT_HEAD,"['S', 'S', 'VP', 'VBP']"
145,test,MOD,people,3,"['who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'VBN']"
146,negative,OTH,test,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'IN']"
147,for,PREP,test,1,"['for', 'the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
148,the,OTH,infection,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'CD']"
149,coronavirus,MOD,infection,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'HYPH']"
150,infection,OTH,for,2,"['the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'NN']"
151,.,OTH,be,0,NOT_HEAD,"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
153,These,OTH,changes,0,NOT_HEAD,"['S', '.']"
154,changes,OTH,expected,2,"['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands']","['S', 'NP', 'NP', 'DT']"
155,to,OTH,policy,0,NOT_HEAD,"['S', 'NP', 'NP', 'NNS']"
156,policy,MOD,changes,2,"['to', 'policy', 'in', 'the', 'Netherlands']","['S', 'NP', 'PP', 'IN']"
157,in,PREP,policy,1,"['in', 'the', 'Netherlands']","['S', 'NP', 'PP', 'NP', 'NP', 'NN']"
158,the,OTH,Netherlands,0,NOT_HEAD,"['S', 'NP', 'PP', 'NP', 'PP', 'IN']"
159,Netherlands,OTH,in,1,"['the', 'Netherlands']","['S', 'NP', 'PP', 'NP', 'PP', 'NP', 'DT']"
160,are,OTH,expected,0,NOT_HEAD,"['S', 'NP', 'PP', 'NP', 'PP', 'NP', 'NNPS']"
161,expected,VERB,expected,4,"['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands', 'are', 'expected', 'to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday', '.']","['S', 'VP', 'VBP']"
162,to,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'VP', 'VBN']"
163,be,OTH,announced,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'TO']"
164,announced,VERB,expected,3,"['to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
165,at,PREP,announced,1,"['at', 'a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'VBN']"
166,a,OTH,conference,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
167,press,MOD,conference,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
168,conference,OTH,at,3,"['a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
169,on,PREP,conference,1,"['on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
170,Tuesday,OTH,on,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
171,.,OTH,expected,0,NOT_HEAD,"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
173,This,OTH,week,0,NOT_HEAD,"['S', '.']"
174,week,OTH,said,1,"['This', 'week']","['S', 'NP', 'DT']"
175,",",OTH,said,0,NOT_HEAD,"['S', 'NP', 'NN']"
176,Kuipers,OTH,said,0,NOT_HEAD,"['S', ',']"
177,said,VERB,said,5,"""['This', 'week', ',', 'Kuipers', 'said', 'the', 'government', """"'s"""", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council', '.']""","['S', 'NP', 'NNP']"
178,the,OTH,government,0,NOT_HEAD,"['S', 'VP', 'VP', 'VBD']"
179,government,MOD,focus,1,"""['the', 'government', """"'s""""]""","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'DT']"
180,'s,OTH,government,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'NN']"
181,new,MOD,focus,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'POS']"
182,focus,OTH,is,2,"""['the', 'government', """"'s"""", 'new', 'focus']""","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'JJ']"
183,is,VERB,said,2,"""['the', 'government', """"'s"""", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']""","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NN']"
184,to,OTH,keep,0,NOT_HEAD,"['S', 'VP', 'VP', 'SBAR', 'S', 'VP', 'VBZ']"
