,token,dependency,head,dependent,constituent,paths
70,whether,mark,is,[],['whether'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'IN']"
71,such,amod,relaxation,[],['such'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'JJ']"
72,extensive,amod,relaxation,[],['extensive'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'JJ']"
73,relaxation,nsubj,is,"['such', 'extensive', 'of']","['such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'NP', 'NN']"
74,of,prep,relaxation,['restrictions'],"['of', 'the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'IN']"
75,the,det,restrictions,[],['the'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'NP', 'DT']"
76,restrictions,pobj,of,"['the', 'in']","['the', 'restrictions', 'in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'NP', 'NNS']"
77,in,prep,restrictions,['Netherlands'],"['in', 'the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'IN']"
78,the,det,Netherlands,[],['the'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'DT']"
79,Netherlands,pobj,in,['the'],"['the', 'Netherlands']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'NP', 'PP', 'NP', 'PP', 'NP', 'NNPS']"
80,is,ccomp,wants,"['whether', 'relaxation', 'course']","['whether', 'such', 'extensive', 'relaxation', 'of', 'the', 'restrictions', 'in', 'the', 'Netherlands', 'is', 'a', 'responsible', 'course', 'of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'VBZ']"
81,a,det,course,[],['a'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'DT']"
82,responsible,amod,course,[],['responsible'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'JJ']"
83,course,attr,is,"['a', 'responsible', 'of']","['a', 'responsible', 'course', 'of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'NP', 'NN']"
84,of,prep,course,['action'],"['of', 'action']","['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'PP', 'IN']"
85,action,pobj,of,[],['action'],"['S', 'VP', 'S', 'VP', 'VP', 'PP', 'NP', 'ADJP', 'SBAR', 'S', 'VP', 'NP', 'PP', 'NP', 'NN']"
86,.,punct,wants,[],['.'],"['S', '.']"
88,Coronavirus,compound,infections,[],['Coronavirus'],"['S', 'PP', 'IN']"
89,infections,nsubj,are,"['Coronavirus', 'in']","['Coronavirus', 'infections', 'in', 'the', 'country']","['S', 'PP', 'NP', 'NNP']"
90,in,prep,infections,['country'],"['in', 'the', 'country']","['S', 'PP', 'NP', 'CD']"
91,the,det,country,[],['the'],"['S', ',']"
92,country,pobj,in,['the'],"['the', 'country']","['S', 'NP', 'NP', 'NN']"
93,are,ROOT,are,"['\n', 'infections', 'currently', 'at', ',', 'and', 'rising']","['\n', 'Coronavirus', 'infections', 'in', 'the', 'country', 'are', 'currently', 'at', 'an', 'all', '-', 'time', 'high', ',', 'and', 'Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']","['S', 'NP', 'NP', 'NNS']"
94,currently,advmod,are,[],['currently'],"['S', 'NP', ',']"
95,at,prep,are,['high'],"['at', 'an', 'all', '-', 'time', 'high']","['S', 'NP', 'NP', 'NNS']"
96,an,det,high,[],['an'],"['S', 'NP', 'CC']"
97,all,det,time,[],['all'],"['S', 'NP', 'NP', 'NP', 'NNS']"
98,-,punct,time,[],['-'],"['S', 'NP', 'NP', 'PP', 'IN']"
99,time,npadvmod,high,"['all', '-']","['all', '-', 'time']","['S', 'NP', 'NP', 'PP', 'NP', 'VBN']"
100,high,pobj,at,"['an', 'time']","['an', 'all', '-', 'time', 'high']","['S', 'NP', 'NP', 'PP', 'NP', 'NN']"
101,",",punct,are,[],"[',']","['S', 'VP', 'MD']"
102,and,cc,are,[],['and'],"['S', 'VP', 'ADVP', 'RB']"
103,Covid-19,compound,hospitalizations,[],['Covid-19'],"['S', 'VP', 'VP', 'VB']"
104,hospitalizations,nsubj,rising,['Covid-19'],"['Covid-19', 'hospitalizations']","['S', 'VP', 'VP', 'ADJP', 'JJ']"
105,have,aux,rising,[],['have'],"['S', 'VP', 'VP', 'ADJP', 'PP', 'IN']"
106,been,aux,rising,[],['been'],"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'NP', 'NNS']"
107,rising,conj,are,"['hospitalizations', 'have', 'been', 'for', ',', 'but', 'remained', '.']","['Covid-19', 'hospitalizations', 'have', 'been', 'rising', 'for', 'five', 'weeks', ',', 'but', 'intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low', '.']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'WHNP', 'WP']"
108,for,prep,rising,['weeks'],"['for', 'five', 'weeks']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'VBP']"
109,five,nummod,weeks,[],['five'],"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'ADJP', 'JJ']"
110,weeks,pobj,for,['five'],"['five', 'weeks']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'IN']"
111,",",punct,rising,[],"[',']","['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'DT']"
112,but,cc,rising,[],['but'],"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
113,intensive,amod,admissions,[],['intensive'],"['S', 'VP', 'VP', 'ADJP', 'PP', 'NP', 'SBAR', 'S', 'VP', 'PP', 'NP', 'NN']"
114,care,compound,admissions,[],['care'],"['S', '.']"
115,admissions,nsubj,remained,"['intensive', 'care']","['intensive', 'care', 'admissions']","['S', 'S', 'NP', 'NP', 'NN']"
116,have,aux,remained,[],['have'],"['S', 'S', 'NP', 'NP', 'NNS']"
117,remained,conj,rising,"['admissions', 'have', 'near']","['intensive', 'care', 'admissions', 'have', 'remained', 'near', 'a', '100', '-', 'day', 'low']","['S', 'S', 'NP', 'PP', 'IN']"
118,near,prep,remained,['low'],"['near', 'a', '100', '-', 'day', 'low']","['S', 'S', 'NP', 'PP', 'NP', 'DT']"
119,a,det,low,[],['a'],"['S', 'S', 'NP', 'PP', 'NP', 'NN']"
120,100,nummod,day,[],['100'],"['S', 'S', 'VP', 'VBP']"
121,-,punct,day,[],['-'],"['S', 'S', 'VP', 'ADVP', 'RB']"
122,day,compound,low,"['100', '-']","['100', '-', 'day']","['S', 'S', 'VP', 'PP', 'IN']"
123,low,pobj,near,"['a', 'day']","['a', '100', '-', 'day', 'low']","['S', 'S', 'VP', 'PP', 'NP', 'DT']"
124,.,punct,rising,[],['.'],"['S', 'S', 'VP', 'PP', 'NP', 'NML', 'DT']"
125,From,prep,be,['February'],"['From', 'February', '25']","['S', 'S', 'VP', 'PP', 'NP', 'NML', 'HYPH']"
126,February,pobj,From,['25'],"['February', '25']","['S', 'S', 'VP', 'PP', 'NP', 'NML', 'NN']"
127,25,nummod,February,[],['25'],"['S', 'S', 'VP', 'PP', 'NP', 'JJ']"
128,",",punct,be,[],"[',']","['S', ',']"
129,nightlife,compound,locations,[],['nightlife'],"['S', 'CC']"
130,locations,nsubj,be,"['nightlife', ',', 'festivals', 'without']","['nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating']","['S', 'S', 'NP', 'NML', 'NNP']"
131,",",punct,locations,[],"[',']","['S', 'S', 'NP', 'NML', 'CD']"
132,festivals,conj,locations,"['and', 'events']","['festivals', 'and', 'events']","['S', 'S', 'NP', 'NNS']"
133,and,cc,festivals,[],['and'],"['S', 'S', 'VP', 'VBP']"
134,events,conj,festivals,[],['events'],"['S', 'S', 'VP', 'VP', 'VBN']"
135,without,prep,locations,['seating'],"['without', 'fixed', 'seating']","['S', 'S', 'VP', 'VP', 'VP', 'VBG']"
136,fixed,amod,seating,[],['fixed'],"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
137,seating,pobj,without,['fixed'],"['fixed', 'seating']","['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'CD']"
138,may,aux,be,[],['may'],"['S', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNS']"
139,already,advmod,be,[],['already'],"['S', ',']"
140,be,ROOT,be,"['From', ',', 'locations', 'may', 'already', 'open', '.']","['From', 'February', '25', ',', 'nightlife', 'locations', ',', 'festivals', 'and', 'events', 'without', 'fixed', 'seating', 'may', 'already', 'be', 'open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection', '.']","['S', 'CC']"
141,open,acomp,be,['to'],"['open', 'to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'JJ']"
142,to,prep,open,['people'],"['to', 'people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'NN']"
143,people,pobj,to,['test'],"['people', 'who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'NP', 'NNS']"
144,who,nsubj,test,[],['who'],"['S', 'S', 'VP', 'VBP']"
145,test,relcl,people,"['who', 'negative', 'for']","['who', 'test', 'negative', 'for', 'the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'VBN']"
146,negative,acomp,test,[],['negative'],"['S', 'S', 'VP', 'VP', 'PP', 'IN']"
147,for,prep,test,['infection'],"['for', 'the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'DT']"
148,the,det,infection,[],['the'],"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'CD']"
149,coronavirus,compound,infection,[],['coronavirus'],"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'HYPH']"
150,infection,pobj,for,"['the', 'coronavirus']","['the', 'coronavirus', 'infection']","['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NML', 'NN']"
151,.,punct,be,[],['.'],"['S', 'S', 'VP', 'VP', 'PP', 'NP', 'NN']"
153,These,det,changes,[],['These'],"['S', '.']"
154,changes,nsubjpass,expected,"['These', 'policy']","['These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands']","['S', 'NP', 'NP', 'DT']"
155,to,aux,policy,[],['to'],"['S', 'NP', 'NP', 'NNS']"
156,policy,relcl,changes,"['to', 'in']","['to', 'policy', 'in', 'the', 'Netherlands']","['S', 'NP', 'PP', 'IN']"
157,in,prep,policy,['Netherlands'],"['in', 'the', 'Netherlands']","['S', 'NP', 'PP', 'NP', 'NP', 'NN']"
158,the,det,Netherlands,[],['the'],"['S', 'NP', 'PP', 'NP', 'PP', 'IN']"
159,Netherlands,pobj,in,['the'],"['the', 'Netherlands']","['S', 'NP', 'PP', 'NP', 'PP', 'NP', 'DT']"
160,are,auxpass,expected,[],['are'],"['S', 'NP', 'PP', 'NP', 'PP', 'NP', 'NNPS']"
161,expected,ROOT,expected,"['\n', 'changes', 'are', 'announced', '.']","['\n', 'These', 'changes', 'to', 'policy', 'in', 'the', 'Netherlands', 'are', 'expected', 'to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday', '.']","['S', 'VP', 'VBP']"
162,to,aux,announced,[],['to'],"['S', 'VP', 'VP', 'VBN']"
163,be,auxpass,announced,[],['be'],"['S', 'VP', 'VP', 'S', 'VP', 'TO']"
164,announced,xcomp,expected,"['to', 'be', 'at']","['to', 'be', 'announced', 'at', 'a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VB']"
165,at,prep,announced,['conference'],"['at', 'a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'VBN']"
166,a,det,conference,[],['a'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
167,press,compound,conference,[],['press'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'DT']"
168,conference,pobj,at,"['a', 'press', 'on']","['a', 'press', 'conference', 'on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
169,on,prep,conference,['Tuesday'],"['on', 'Tuesday']","['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NN']"
170,Tuesday,pobj,on,[],['Tuesday'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'IN']"
171,.,punct,expected,[],['.'],"['S', 'VP', 'VP', 'S', 'VP', 'VP', 'VP', 'PP', 'NP', 'NNP']"
173,This,det,week,[],['This'],"['S', '.']"
174,week,npadvmod,said,['This'],"['This', 'week']","['S', 'NP', 'DT']"
175,",",punct,said,[],"[',']","['S', 'NP', 'NN']"
176,Kuipers,nsubj,said,[],['Kuipers'],"['S', ',']"
177,said,ROOT,said,"['\n', 'week', ',', 'Kuipers', 'is', '.']","['\n', 'This', 'week', ',', 'Kuipers', 'said', 'the', 'government', ""'s"", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council', '.']","['S', 'NP', 'NNP']"
178,the,det,government,[],['the'],"['S', 'VP', 'VP', 'VBD']"
179,government,poss,focus,"['the', ""'s""]","['the', 'government', ""'s""]","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'DT']"
180,'s,case,government,[],"[""'s""]","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'NN']"
181,new,amod,focus,[],['new'],"['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NP', 'POS']"
182,focus,nsubj,is,"['government', 'new']","['the', 'government', ""'s"", 'new', 'focus']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'JJ']"
183,is,ccomp,said,"['focus', 'keep']","['the', 'government', ""'s"", 'new', 'focus', 'is', 'to', 'keep', 'society', 'open', ',', 'which', 'was', 'celebrated', 'by', 'the', 'mayors', 'on', 'the', 'Security', 'Council']","['S', 'VP', 'VP', 'SBAR', 'S', 'NP', 'NN']"
